ghsa_stn|riv_basin|country|agency|state|agency_id|site_name|district|site_type1|agency_area|river|site_type2|agency_lat|agency_lon|basinShort|basinCode|hydrosh_pf|ghsa_locchk|ghsa_rivchk|ghsa_lmark|ghsa_lmark_lat|ghsa_lmark_lon|ghsa_lmark_dist|ghsa_reloc|ghsa_lat|ghsa_lon|ghsa_area|hydro_area|merit_lat|merit_lon|merit_area|disc_agency|disc_merit|ghsa_netchk|merit_netchk|qc1|qc2|qc3|qc4|qc5|qc6|ghsa_group
CN-brah_bayix|Brahmaputra|CN|GSIM||CN_0000055|BA YI XIN CUN|||226|BA YI HE||29.65|94.3|brah|x2B|PF12-4120780690|||no landmark found||||5.6462|29.67296|94.35212|16902.8|16918.9|29.65|94.3|0|7379.1|-1000000|||1|1|1|0|0|1|G4
IN-brah_doyan|Brahmaputra|IN|CWC|Nagaland||Doyang|Wokha|HO|2606|Brahmaputra/Doyang|G|||brah|x2B||||||||||||||||-1000000|-1000000|||1|1|1|0|1|1|G4
IN-brah_champ|Brahmaputra|IN|CWC|West Bengal|CW1BHG000386|Champasari|Darjeeling|HO|250|Ganga/Mahananda|GDSQ|26.7392|88.4228|brah|x2B|PF12-4121480450|uncertain location; station in Ganga Basin||GM, Champasari town nearby|26.7475|88.4167|1.1|0.0436|26.73958|88.42291|194.8|163.8|26.73834|88.42249|162.1|-22.1|20.2|||1|1|1|0|1|1|G4
IN-brah_matig|Brahmaputra|IN|CWC|West Bengal|CW1BHG000387|Matigara|Darjeeling|HO|260|Ganga/Mahananda/Balason|GDSQ|26.7203|88.3769|brah|x2B|PF12-4120871330|uncertain location; station in Ganga Basin||GM, Matigara town nearby|26.72221|88.38017|0.39|0.1731|26.71875|88.37706|93.8|93.7|26.72002|88.37664|353|-63.9|-73.4|||1|1|1|0|1|1|G4
IN-brah_sona2|Brahmaputra|IN|CWC|West Bengal|CW1BHG000389|Sonapurhat|North Dinajpur|HO|750|Ganga/Mahananda|GDSQ|26.4569|88.2433|brah|x2B|PF12-4120879110|uncertain location; station in Ganga Basin||GM, Sonapur Hat town south|26.43772|88.25767|2.57|0.6032|26.46042|88.24791|1041.9|1041.8|26.45666|88.24333|951.3|38.9|9.5|||1|1|1|0|1|1|G4
BT-brah_bemet|Brahmaputra|BT|NCHM||15600045|Bemethang on Chamkharchhu|Zhemgang||2718|Chamkharchhu||27.2806|90.9375|brah|x2B|PF12-4121473380|||GM, Bemethang AWLS nearby|27.28007|90.93094|0.65|0.6207|27.28115|90.93125|2709.4|2711.2|27.28167|90.93167|2713.7|-0.3|-0.2|||1|1|1|1|1|1|G1
BT-brah_bjiza|Brahmaputra|BT|NCHM||14580045|Bjizam on Mangdichhu +AWLS|Trongsa||1390|Mangdichhu||27.5244|90.4547|brah|x2B|PF12-4120847190|||GM, Bjee Zam bridge nearby|27.52049|90.4598|0.66|0.3355|27.52709|90.45624|1403.9|1401.8|27.52417|90.455|1387.4|1|1.2|||1|1|1|1|1|1|G1
BT-brah_damch|Brahmaputra|BT|NCHM||12490045|Damchhu on Wangchhu|Chhukha||2529|Wangchhu||27.2406|89.5272|brah|x2B|PF12-4120855510|||GM, Damchu hotel north|27.2509|89.52545|1.16|0.4381|27.23958|89.52292|2529.8|2530.5|27.24|89.5225|2520.6|0|0.4|||1|1|1|1|1|1|G1
BT-brah_doyag|Brahmaputra|BT|NCHM||11210045|Doyagang on Ammochhu|Chhukha||3710|Ammochhu||26.8867|89.35|brah|x2B|PF12-4121479180|||no landmark found||||0.6391|26.88126|89.35208|3740.5|3744.3|26.88083|89.35164|3740.8|0.8|0|||1|1|1|1|1|1|G1
BT-brah_kerab|Brahmaputra|BT|NCHM||13140045|Kerabari on Sankosh|Dagana||9627|Sankosh||26.7683|89.9281|brah|x2B|PF12-4121480090|||no landmark found||||0.113|26.76875|89.92708|9635.7|9640.8|26.76833|89.9275|9594.6|0.1|0.4|||1|1|1|1|1|1|G1
BT-brah_kuriz|Brahmaputra|BT|NCHM||16200045|Kurizampa on Kurichhu|Mongar||8998|Kurichhu||27.2739|91.1936|brah|x2B|PF12-4120853080|||GM, Kurizampa church nearby|27.27354|91.1941|0.06|0.11|27.27292|91.19375|9064.2|9076.4|27.27417|91.19334|9003.8|0.7|0.7|||1|1|1|1|1|1|G1
BT-brah_kurje|Brahmaputra|BT|NCHM||15490045|Kurjey on Chamkharchhu +AWLS|Bumthang||1355|Chamkharchhu||27.5869|90.7369|brah|x2B|PF12-4120844680|||GM, Kurjey town west|27.58828|90.72864|0.83|0.2193|27.58542|90.73543|1394.9|1391.9|27.58506|90.73416|1360.6|2.9|2.5|||1|1|1|1|1|1|G1
BT-brah_lungt|Brahmaputra|BT|NCHM||12800045|Lungtenphug on Wangchhu|Thimphu||666|Wangchhu||27.4467|89.6611|brah|x2B|PF12-4120846750|||GM, Lungtenphug helipad north|27.45147|89.65583|0.74|0.5062|27.44799|89.65618|642.9|643.8|27.44667|89.65915|661.2|-3.5|-2.8|||1|1|1|1|1|1|G1
BT-brah_mukti|Brahmaputra|BT|NCHM||17670045|Muktirap on Kholong Chhu + AWLS|Trashi Yangtse||876|Kholong Chhu||27.5878|91.4944|brah|x2B|PF12-4121468760|||no landmark found||||0.1999|27.5895|91.49374|888.1|882.7|27.5875|91.49249|880.8|1.4|0.8|||1|1|1|1|1|1|G1
BT-brah_pangb|Brahmaputra|BT|NCHM||17120045|Pangbang on Dangme chhu + AWLS|Zhemgang||21006|Dangme chhu||26.8417|90.8417|brah|x2B|PF12-4120866230|||GM, Panbang town east|26.85271|90.96498|12.29|12.2454|26.85208|90.96458|21058.9|21090.8|26.85333|90.965|20828.9|0.3|1.1|||1|1|1|1|1|1|G1
BT-brah_sumpa|Brahmaputra|BT|NCHM||16520045|Sumpa on Kurichhu +AWLS|Lhuntse||7101|Kurichhu||27.6639|91.215|brah|x2B|PF12-4120840600|||GM, Sumpa town nearby|27.64939|91.21442|1.61|0.8641|27.66458|91.20626|7310.9|7321.8|27.66585|91.20664|7270.1|3|0.6|||1|1|1|1|1|1|G1
BT-brah_tingt|Brahmaputra|BT|NCHM||14180045|Tingtibi on Mangdiechhu (Downstream)|Zhemgang||3339|Mangdiechhu (Downstream)||27.1472|90.6997|brah|x2B|PF12-4120858120|||GM, Tingtibi town nearby|27.14323|90.69229|0.86|0.1921|27.14791|90.69793|3339.3|3341.4|27.14834|90.69999|3316.5|0|0.7|||1|1|1|1|1|1|G1
BT-brah_turit|Brahmaputra|BT|NCHM||13320045|Turitar on Sankosh|Tsirang||8063|Sankosh||27.0058|90.0767|brah|x2B|PF12-4120863610|||GM, NCHM Sankosh station nearby|27.00936|90.07|0.77|0.6354|27.01041|90.07291|8074.6|8084.8|27.00916|90.07083|8034|0.1|0.5|||1|1|1|1|1|1|G1
BT-brah_uzoro|Brahmaputra|BT|NCHM||17400045|Uzorong on Gongri|Tashigang||8261|Gongri||27.2606|91.4083|brah|x2B|PF12-4120853400|||GM, NCHM hydrology station nearby|27.25982|91.40674|0.18|0.6203|27.26037|91.41457|9154.7|9168.7|27.25999|91.41251|8981.1|10.8|1.9|||1|1|1|1|1|1|G2
BT-brah_wangd|Brahmaputra|BT|NCHM||13490045|Wangdirapids on Phochhu + Mochhu|Wangdi||5648|Phochhu and Mochhu||27.4625|89.9031|brah|x2B|PF12-4120849360|||GM, Wangdue town north|27.47389|89.89812|1.36|0.2536|27.46041|89.90207|5774.6|5762.1|27.46083|89.90167|5634.6|2.2|2.5|||1|1|1|1|1|1|G1
BT-brah_yebes|Brahmaputra|BT|NCHM||13700045|Yebesa on Mochhu + AWLS|Punakha||2223|Mochhu||27.6331|89.8175|brah|x2B|PF12-4120842610|||OSM, Yebesa appears on map|27.6331|89.8175|0|0.2417|27.63123|89.81875|2322.4|2322.7|27.6325|89.81584|2307.9|4.5|0.6|||1|1|1|1|1|1|G1
CN-brah_606go|Brahmaputra|CN|GSIM||CN_0000054|606 GONG CHENG||||NI YANG HE||30|93.91666667|brah|x2B|PF12-4120765960|||no landmark found||||1.3058|30.01041|93.91039||1722.2|30|93.91667|0|-1000000|-1000000|||0|1|1|1|0|1|G4
CN-brah_engo1|Brahmaputra|CN|GSIM||CN_0000140|EN GONG|||106400|YA LONG ZANG BU JIANG||29.35|89.2|brah|x2B|PF12-4120786400|||skip landmark check|29.35|89.2|0|1.1753|29.33959|89.1979|106171|105395.9|29.34167|89.19917|105239.6|-0.2|0.9|||1|1|1|1|1|1|G1
CN-brah_engo2|Brahmaputra|CN|GSIM||CN_0000144|EN GONG||||YA LONG ZANG BU JIANG||29.35|89.2|brah|x2B|PF12-4120786270|uncertain location; potential duplicate||no landmark found||||0|29.35|89.2||0.2|29.35|89.2|0|-1000000|-1000000|||0|1|1|0|0|1|G4
CN-brah_gongb|Brahmaputra|CN|GSIM||CN_0000059|GONG BU JIANG DA|||6417|NI YANG HE||29.88333333|93.25|brah|x2B|PF12-4121439040|||GM, Gongbo Gyamada or Gongbu Jiangda town nearby|29.88292|93.24744|0.25|0.3073|29.88542|93.24791|6456.9|6457.7|29.885|93.24917|6439.3|0.6|0.3|||1|1|1|1|1|1|G1
CN-brah_jiang|Brahmaputra|CN|GSIM||CN_0000050|JIANG ZE|||6200|NIAN CHU HE||28.9|89.6|brah|x2B|PF12-4120800450|||GM, Jiangzi school nearby|28.90401|89.61911|1.91|0.6463|28.90201|89.60623|9441.7|9453.8|28.90168|89.60332|9158.7|52.3|3.1|||1|1|1|1|1|1|G3
CN-brah_jiuba|Brahmaputra|CN|GSIM||CN_0000060|JIU BA|||15600|NI YANG HE||29.75|94.15|brah|x2B|PF12-4120773800|||GM, Jiubacun town west|29.73486|94.11377|3.88|0.7253|29.74374|94.14789|15769.1|15783.4|29.7425|94.14998|15669|1.1|0.6|||1|1|1|1|1|1|G1
CN-brah_kang1|Brahmaputra|CN|GSIM||CN_0000052|KANG JIA|||20367|LA SA HE||29.88333333|91.78333333|brah|x2B|PF12-4120770240|||skip landmark check|29.88333|91.78333|0|0.3071|29.8854|91.78122|20134.1|20149|29.88499|91.77833|20140.2|-1.1|0|||1|1|1|1|1|1|G1
CN-brah_kang2|Brahmaputra|CN|GSIM||CN_0000152|KANG JIA||||LA SA HE||29.88333333|91.78333333|brah|x2B|PF12-4120770240|uncertain location; potential duplicate||no landmark found||||0.0005|29.88333|91.78333||0.2|29.88333|91.78333|0|-1000000|-1000000|||0|1|1|0|0|1|G4
CN-brah_lasa1|Brahmaputra|CN|GSIM||CN_0000143|LA SA|||27482|LA SA HE||29.63333333|91.15|brah|x2B|PF12-4120777350|||GM, Lhasa town nearby|29.6373|91.11344|3.56|0.9205|29.63958|91.14375|26240.1|26264.3|29.64|91.14584|26211.4|-4.5|0.1|||1|1|1|1|1|1|G1
CN-brah_lasa2|Brahmaputra|CN|GSIM||CN_0000153|LA SA||||LA SA HE||29.63333333|91.15|brah|x2B|PF12-4120777350|uncertain location; potential duplicate||GM, Lhasa town nearby|29.63333|91.15|0|0.0004|29.63333|91.15||0.2|29.63333|91.15|0|-1000000|-1000000|||0|1|1|0|1|1|G4
CN-brah_lazex|Brahmaputra|CN|GSIM||CN_0000057|LA ZE||||YA LONG ZANG BU JIANG||29.16666667|87.68333333|brah|x2B|PF12-4120790900|||no landmark found||||0.0005|29.16667|87.68333||1.1|29.16667|87.68333|0|-1000000|-1000000|||0|1|1|1|0|1|G4
CN-brah_malan|Brahmaputra|CN|GSIM||CN_0000149|MA LANG||||GE MO HE||28.83333333|89.76666667|brah|x2B|PF12-4120803120|||no landmark found||||0.0005|28.83333|89.76667||18.6|28.83333|89.76667|0|-1000000|-1000000|||0|1|1|1|0|1|G4
CN-brah_nuge1|Brahmaputra|CN|GSIM||CN_0000047|NU GE SHA|||110415|YA LONG ZANG BU JIANG||29.38333333|89.78333333|brah|x2B|PF12-4120788280|||skip landmark check|29.38333|89.78333|0|9.9809|29.29374|89.78961|109811.9|109042.1|29.295|89.79333|108888.5|-0.5|0.8|||1|1|1|1|1|1|G1
CN-brah_nuge2|Brahmaputra|CN|GSIM||CN_0000145|NU GE SHA||||YA LONG ZANG BU JIANG||29.36666667|89.71666667|brah|x2B|PF12-4120785790|uncertain location; potential duplicate||no landmark found||||0.0005|29.36667|89.71667||0.2|29.36667|89.71667|0.4|-1000000|-1000000|||0|1|1|0|0|1|G4
CN-brah_nuxi1|Brahmaputra|CN|GSIM||CN_0000049|NU XIA|||191222|YA LONG ZANG BU JIANG||29.45|94.56666667|brah|x2B|PF12-4120782360|||skip landmark check|29.45|94.56667|0|0.7214|29.45622|94.56455|204647|203982.8|29.45418|94.56333|203213.9|7|0.7|||1|1|1|1|1|1|G1
CN-brah_nuxi2|Brahmaputra|CN|GSIM||CN_0000148|NU XIA||||YA LONG ZANG BU JIANG||29.46666667|94.56666667|brah|x2B|PF12-4120782360|uncertain location; potential duplicate||no landmark found||||0.0005|29.46667|94.56667||0.4|29.46667|94.56667|0|-1000000|-1000000|||0|1|1|0|0|1|G4
CN-brah_pang1|Brahmaputra|CN|GSIM||CN_0000051|PANG DUO|||17148|LA SA HE||30.1|91.35|brah|x2B|PF12-4121435800|||GM, Pang Duo Cun lake north and Poindo town north|30.17245|91.35844|8.1|7.6682|30.16875|91.35625|16433.7|16446.5|30.16834|91.35663|16422.8|-4.2|0.1|||1|1|1|1|1|1|G1
CN-brah_pang2|Brahmaputra|CN|GSIM||CN_0000150|PANG DUO||||LA SA HE||30.1|91.35|brah|x2B|PF12-4121435800|uncertain location; potential duplicate||GM, Pang Duo Cun lake north and Poindo town north|30.1|91.35|0|0|30.1|91.35||0.4|30.1|91.35|0|-1000000|-1000000|||0|1|1|0|1|1|G4
CN-brah_qush1|Brahmaputra|CN|GSIM||CN_0000141|QU SHUI|||151120|YA LONG ZANG BU JIANG||29.28333333|91.16666667|brah|x2B|PF12-4120788630|||GM, Qu Xu county west|29.34685|90.71607|44.25|4.4388|29.32289|91.16051|160667|159953.8|29.32253|91.16244|159288.1|6.3|0.9|||1|1|1|1|1|1|G1
CN-brah_qush2|Brahmaputra|CN|GSIM||CN_0000146|QU SHUI||||YA LONG ZANG BU JIANG||29.28333333|91.16666667|brah|x2B|PF12-4120788630|uncertain location; potential duplicate||GM, Qu Xu county west|29.28333|91.16667|0|0.0005|29.28333|91.16667||3|29.28333|91.16667|0.6|-1000000|-1000000|||0|1|1|0|1|1|G4
CN-brah_regez|Brahmaputra|CN|GSIM||CN_0000061|RE GE ZE|||11954|NIAN CHU HE||29.3|88.9|brah|x2B|PF12-4120787650|||skip landmark check|29.3|88.9|0|0.3064|29.30209|88.90206|14210.5|14230|29.3|88.9|14221.8|18.9|-0.1|||1|1|1|1|1|1|G2
CN-brah_wokax|Brahmaputra|CN|GSIM||CN_0000053|WO KA|||1434|WO KA HE||29.3|92.2|brah|x2B|PF12-4120788130|||no landmark found||||0.3071|29.30209|92.19793|415.4|415.9|29.3|92.2|421.4|-71|-1.4|||1|1|1|1|0|1|G4
CN-brah_yang1|Brahmaputra|CN|GSIM||CN_0000048|YANG CUN|||156808|YA LONG ZANG BU JIANG||29.3|91.96666667|brah|x2B|PF12-4120790270|||skip landmark check|29.3|91.96667|0|3.9826|29.26461|91.96035|166511.2|165799.6|29.26084|91.96412|165126.8|6.2|0.8|||1|1|1|1|1|1|G1
CN-brah_yang2|Brahmaputra|CN|GSIM||CN_0000147|YANG CUN||||YA LONG ZANG BU JIANG||29.3|91.96666667|brah|x2B|PF12-4120790270|uncertain location; potential duplicate||no landmark found||||0.0003|29.3|91.96667||0.4|29.3|91.96667|0|-1000000|-1000000|||0|1|1|0|0|1|G4
CN-brah_yangb|Brahmaputra|CN|GSIM||CN_0000058|YANG BA JING (BIN ZHAN)|||2663|DUI LONG QU||30.08333333|90.55|brah|x2B|PF12-4120766850|||GM, Yang Ba Jing town nearby|30.0847|90.55066|0.16|0.3061|30.08125|90.55208|2654.3|2653.2|30.0825|90.55167|2651|-0.3|0.1|||1|1|1|1|1|1|G1
CN-brah_yigon|Brahmaputra|CN|GSIM||CN_0000056|YI GONG (GONG DE)|||13307|YI GONG ZANG BU JIANG||30.3|94.76666667|brah|x2B|PF12-4120757450|||GM, Yigong and Gong De towns south east|30.26956|94.81067|5.41|2.2112|30.3021|94.78957|1658|1658.5|30.30334|94.79001|1635.5|-87.5|1.4|||1|1|1|1|1|1|G3
CN-brah_zhig1|Brahmaputra|CN|GSIM||CN_0000142|ZHI GONG|||21171|LA SA HE||29.95|91.9|brah|x2B|PF12-4121438670|||skip landmark check|29.95|91.9|0|1.936|29.95624|91.88124|19941.8|19958.3|29.95586|91.88086|19956.5|-5.8|-0.1|||1|1|1|1|1|1|G1
CN-brah_zhig2|Brahmaputra|CN|GSIM||CN_0000151|ZHI GONG||||LA SA HE||29.95|91.9|brah|x2B|PF12-4121438670|uncertain location; potential duplicate||no landmark found||||0|29.95|91.9||0.2|29.95|91.9|0|-1000000|-1000000|||0|1|1|0|0|1|G4
IN-brah_aienh|Brahmaputra|IN|CWC|Assam|CW1BRL000725|Aie NH Crossing|Barpeta|HO|1876|Brahmaputra/Aie|GQ|26.4975|90.655|brah|x2B|PF12-4120879440|||GM, Aie bridge and highway nearby|26.49743|90.65329|0.17|0.2943|26.49792|90.65208|1941.1|1940.3|26.49759|90.65416|2010.6|3.5|-3.5|||1|1|1|1|1|1|G1
IN-brah_ambar|Brahmaputra|IN|CWC|West Bengal|CW1BRL000881|Ambari|Coochbehar|HO|915|Kaljani|GDQ|26.4164|89.5417|brah|x2B|PF12-4120881090|||GM, Ambari town nearby|26.41301|89.53703|0.6|0.6735|26.4188|89.54791|1228.5|1228.7|26.41666|89.54332|939.8|34.3|30.7|||1|1|1|1|1|1|G3
IN-brah_badat|Brahmaputra|IN|CWC|Assam|CW1BRU000225|Badatighat|Lakhimpur|HO/FF|31000|Brahmaputra/Subansiri|GQ|26.9347|93.9622|brah|x2B|PF12-4120865800|||GM, Badati Ghat CWC office nearby|26.95142|93.9604|1.87|0.1888|26.93539|93.96046|33755|33799.4|26.93333|93.96167|34606.6|8.9|-2.5|||1|1|1|1|1|1|G1
IN-brah_bahal|Brahmaputra|IN|CWC|Assam|CW1BRL000723|Bahalpur|Barpeta|HO|1220|Brahmaputra/Champamati|GQ|26.3183|90.4694|brah|x2B|PF12-4121485970|||GM, Bahalpur town nearby|26.31618|90.46827|0.26|0.0876|26.31884|90.46876|983.8|974|26.31834|90.47|970.2|-19.4|1.4|||1|1|1|1|1|1|G2
IN-brah_bakal|Brahmaputra|IN|CWC|Assam|CW1BRL001293|Bakalighat|Karbi Anglong|HO|2014|Jamuna|GD|26.0539|93.1814|brah|x2B|PF12-4121488610|||GM, Bakalighat town nearby|26.05607|93.19034|0.93|0.2018|26.05209|93.18125|1942.1|1942.5|26.05334|93.18083|1940.9|-3.6|0.1|||1|1|1|1|1|1|G1
IN-brah_bakch|Brahmaputra|IN|CWC|Sikkim|CW1BRL001238|BakchaChu|NorthSikkim|HO|93|BakchaChu/Dikchu/Teesta|GDQ|27.4167|88.6303|brah|x2B|PF12-4121471060|||GM, Bakcha bridge nearby|27.41796|88.6307|0.15|0.2483|27.41876|88.63127|96.3|93.7|27.4175|88.63083|88.4|3.5|8.9|||0|1|1|1|1|1|G4
IN-brah_balad|Brahmaputra|IN|CWC|Assam|CW1BRL001140|Baladoba|Baladoba|HO|13162|Ganghadhar|GDQ|26.0189|89.8294|brah|x2B|PF12-4120896210|||GM, Baladuba town nearby|26.01963|89.84075|1.14|0.1856|26.01875|89.83125|11135.1|11142.4|26.01919|89.82834|15235.1|-15.4|-26.9|||1|1|1|1|1|1|G3
IN-brah_balig|Brahmaputra|IN|CWC|Assam|CW1BRU000898|Balighat|Lakhimpur|HO|30942|Buri Dihing|GQ|27.0969|94.1564|brah|x2B|PF12-4120859390||on Subansiri river|no landmark found||||0.8167|27.09792|94.16457|27603.7|27639.7|27.09501|94.15833|29953.4|-10.8|-7.8|||1|1|1|1|0|0|G4
IN-brah_balij|Brahmaputra|IN|CWC|Assam|CW1BRU00089|Balijagaon|Dibrugarh|HO|4694|Buri Dihing|GDQ|27.3572|95.1908|brah|x2B|PF12-4120851340|||GM, Balighat temple nearby|27.36171|95.2034|1.34|0.6398|27.35205|95.19369|4709.9|4716.7|27.35752|95.19085|4626.9|0.3|1.8|||1|1|1|1|1|1|G1
IN-brah_bangl|Brahmaputra|IN|CWC|Assam|CW1BRL000887|Banglabasti|Nagaon|HO|11992|Harianadi|GQ|26.1992|92.6725|brah|x2B|PF12-4120885750|||GM, Banglabasti CWC office nearby|26.19815|92.67195|0.13|1.3036|26.21043|92.66875||716.2|26.19917|92.67334|3418.3|-1000000|-1000000|unreliable network||1|0|1|1|1|1|G4
IN-brah_barob|Brahmaputra|IN|CWC|West Bengal|CW1BRL000430|Barobisha|Alipurduar|HO/FF|4573|Brahmaputra Sankosh/Raidak-|GDSQ|26.4744|89.7853|brah|x2B|PF12-4121484070|||GM, Barobisha town nearby|26.46934|89.80592|2.13|0.1663|26.47291|89.78544|157.4|141.1|26.475|89.785|4714.6|-96.6|-96.7|||1|1|1|1|1|1|G3
IN-brah_bekir|Brahmaputra|IN|CWC|Assam|CW1BRL000229|Beki Road bridge|Barpeta|HO/FF|25730|Brahmaputra/Beki|GDQ|26.4944|90.9153|brah|x2B|PF12-4121485000|||GM, Beki Road bridge nearby|26.49507|90.91603|0.1|0.5225|26.49795|90.91874|28930.9|28973.7|26.49584|90.91833|28616.5|12.4|1.1|||1|1|1|1|1|1|G2
IN-brah_bhalu|Brahmaputra|IN|CWC|Arunachal Pradesh|CW1BRL000550|Bhalukpong|West Kameng|HO|10450|Brahmaputra/g Kameng|GDQ|27.0167|92.6419|brah|x2B|PF12-4120861590|||GM, Bhalukpong town nearby|27.01423|92.63702|0.56|0.2895|27.01873|92.64373|8981.1|8992.8|27.0175|92.64167|8965.5|-14.1|0.2|||1|1|1|1|1|1|G2
IN-brah_bhomo|Brahmaputra|IN|CWC|Assam||Bhomoraguri|Sonitpur|HO|385027|Brahmaputra|GDSQ|26.6103|92.8603|brah|x2B|PF12-4120872790|||GM, Bhomoraguri town nearby|26.62726|92.85566|1.94|0.0102|26.61032|92.8604|384253.8|383846.6|26.60667|92.86084|382626.4|-0.2|0.4|||1|1|1|1|1|1|G1
IN-brah_bihub|Brahmaputra|IN|CWC|Assam|CW1BRU000396|Bihubar|Sivasagar|HO|3130|Brahmaputra/Dikhow|GQ|26.8558|94.7994|brah|x2B|PF12-4121477560|||GM, Bihubar CWC site nearby|26.85147|94.79882|0.48|0.7588|26.86042|94.79377|3041.4|3045.4|26.85583|94.79916|3027.5|-2.8|0.5|||1|1|1|1|1|1|G1
IN-brah_biswa|Brahmaputra|IN|CWC|Assam|CW1BRL001255|Biswanath  Ghat|Biswanath|HO|375840|Brahmaputra|GQ|26.6581|93.1722|brah|x2B|PF12-4120872130|||OSM, Bishwanath Ghat nearby|26.6641|93.16528|0.96|3.0593|26.63538|93.18956|371983.2|371567.5|26.65417|93.17504|370796.5|-1|0.3|||1|1|1|1|1|1|G1
IN-brah_bogib|Brahmaputra|IN|CWC|Assam|CW1BRU001530|Bogibeel|Dibrugarh|HO|305061|Brahmaputra|GQ|27.3972|94.785|brah|x2B|PF12-4121471670|||GM, Bogibil resort nearby|27.38512|94.79183|1.5|3.3571|27.38957|94.7521|303080.4|302544.1|27.38833|94.75498|301545.7|-0.6|0.5|||1|1|1|1|1|1|G1
IN-brah_bokaj|Brahmaputra|IN|CWC|Assam|CW1BRU000313|Bokajan|Karbi Anglong|HO|3023|Brahmaputra/Dhansari(South)|GQ|26.0161|93.7872|brah|x2B|PF12-4120891310|||GM, Bokajan town nearby|26.02068|93.77299|1.51|0.2889|26.0146|93.78956|2487.4|2488.8|26.01583|93.78752|2476.2|-17.7|0.5|||1|1|1|1|1|1|G2
IN-brah_bolen|Brahmaputra|IN|CWC|Arunachal Pradesh|CW1BRU001115|Boleng|Siang|HO|205385|Siang|GQ|28.3136|94.9611|brah|x2B|PF12-4120822610|||GM, Boleng town nearby|28.31848|94.95506|0.8|0.1278|28.31457|94.9604|248130.2|247522.9|28.31333|94.96166|246750.2|20.8|0.6|||1|1|1|1|1|1|G2
IN-brah_bomji|Brahmaputra|IN|CWC|Assam|CW1BRU001157|Bomjir|Tinsukia|HO|11472|Dibang|GD|28.1583|95.6675|brah|x2B|PF12-4120829770|||GM, Bomjir resort nearby|28.16062|95.6653|0.34|0.5764|28.15627|95.67291||11522.4|28.15498|95.6725|11471.1|-1000000|-1000000||complex river network|1|1|0|1|1|1|G4
IN-brah_bopxx|Brahmaputra|IN|CWC|Sikkim|CW1BRL001075|Bop|North Sikkim|HO|940|LachungChu|GDQ|27.6117|88.6583|brah|x2B|PF12-4120842120|||GM, Bop town nearby|27.61658|88.65818|0.54|0.2513|27.61038|88.65623|774.6|775.5|27.61168|88.65834|767.9|-17.6|0.9|||1|1|1|1|1|1|G2
IN-brah_chakl|Brahmaputra|IN|CWC|Assam|CW1BRL000871|Chaklagaon|Bongaigaon|HO|307|Manas|GQ|26.385|90.8069|brah|x2B|PF12-4120882180||on a tributary  of Manas|no landmark found||||0.3529|26.38543|90.81041|368.5|364.7|26.38584|90.80749|1017.6|20|-63.8|||1|1|1|1|0|0|G4
IN-brah_chan1|Brahmaputra|IN|CWC|Assam|CW1BRL000886|Changsari|Kamrup|HO|83|Kurijani|GQ|26.2547|91.6603|brah|x2B|PF12-4120888190||unable to verify|GM, Changsari town east|26.25263|91.69068|3.04|0.0625|26.255|91.66083||0.2|26.255|91.66083|201|-1000000|-1000000|unreliable network||0|0|1|1|1|0|G4
IN-brah_chan2|Brahmaputra|IN|CWC|Arunachal Pradesh|CW1BRU001120|Changwanti|Lohit|HO|17981|Lohit|G|27.8917|94.8317|brah|x2B|PF12-4120831830|||no landmark found||||155.2868|27.9604|96.41038|19757.1|19783.2|27.95919|96.40917|19706.2|9.9|0.3|||1|1|1|1|1|1|G3
IN-brah_chelx|Brahmaputra|IN|CWC|West Bengal|CW1BRL000131|Chel|Jalpaiguri|FF|103|Brahmaputra/Teesta/Chel|GQ|26.8636|88.635|brah|x2B|PF12-4120870160|||GM, businesses with Chel in their name nearby|26.86335|88.63407|0.1|0.0873|26.86334|88.63583||0.2|26.86334|88.63583|121|-1000000|-1000000|unreliable network||1|0|1|1|1|1|G4
IN-brah_cheni|Brahmaputra|IN|CWC|Assam|CW1BRU000222|Chenimari|Dibrugarh|HO/FF|4923|Brahmaputra/Buridehing|GDSQ|27.3114|94.8825|brah|x2B|PF12-4120852810|||GM, Chenimari town south east|27.29217|94.89583|2.51|0.3071|27.31043|94.88541|5256.4|5263.5|27.31166|94.8825|5213.5|6.8|0.8|||1|1|1|1|1|1|G1
IN-brah_chepa|Brahmaputra|IN|CWC|West Bengal|CW1BRL000431|Chepan|Alipurduar|HO/FF|124|Brahmaputra/Torsa/Raidak-|GDQ|26.4922|89.7006|brah|x2B|PF12-4121483690|||GM, Chepani town west|26.49781|89.68461|1.71|0.3159|26.49375|89.69794||4725.1|26.49248|89.70082|141.3|-1000000|-1000000|unreliable network||1|0|1|1|1|1|G4
IN-brah_china|Brahmaputra|IN|CWC|Arunachal Pradesh|CW1BRL000865|China Bridge|Tawang|HO|850|Mago Chu|GDSQ|27.5817|91.9811|brah|x2B|PF12-4121468780||unable to verify|no landmark found||||0.5713|27.58541|91.97709|3029|3030|27.58583|91.97417|2850.6|256.4|6.3|||1|1|1|1|0|0|G4
